Time_s,Voltage_mV
0.41,-0.258605
0.411,-0.259578
0.412,-0.260227
0.413,-0.245952
0.414,-0.23265
0.415,-0.227135
0.416,-0.219673
0.417,-0.221295
0.418,-0.228433
0.419,-0.240761
0.42,-0.244654
0.421,-0.249521
0.422,-0.26412
0.423,-0.271906
0.424,-0.269635
0.425,-0.259578
0.426,-0.251143
0.427,-0.249196
0.428,-0.249196
0.429,-0.243032
0.43,-0.239463
0.431,-0.239139
0.432,-0.240437
0.433,-0.244979
0.434,-0.246925
0.435,-0.242383
0.436,-0.229082
0.437,-0.222917
0.438,-0.219024
0.439,-0.223891
0.44,-0.231353
0.441,-0.232001
0.442,-0.238814
0.443,-0.250494
0.444,-0.259902
0.445,-0.270609
0.446,-0.268338
0.447,-0.259253
0.448,-0.253738
0.449,-0.248547
0.45,-0.242383
0.451,-0.23849
0.452,-0.239139
0.453,-0.24141
0.454,-0.246276
0.455,-0.247574
0.456,-0.240761
0.457,-0.223891
0.458,-0.211238
0.459,-0.203776
0.46,-0.195665
0.461,-0.186906
0.462,-0.179768
0.463,-0.180417
0.464,-0.183013
0.465,-0.179768
0.466,-0.164196
0.467,-0.14181
0.468,-0.111638
0.469,-0.075951
0.47,-0.038317
0.471,-0.003279
0.472,0.021378
0.473,0.029164
0.474,0.033382
0.475,0.042466
0.476,0.049928
0.477,0.04279
0.478,0.039222
0.479,0.038897
0.48,0.049603
0.481,0.054145
0.482,0.033382
0.483,0.00905
0.484,-0.009118
0.485,-0.035397
0.486,-0.078546
0.487,-0.111638
0.488,-0.129157
0.489,-0.14181
0.49,-0.15868
0.491,-0.17036
0.492,-0.181715
0.493,-0.186906
0.494,-0.187879
0.495,-0.194692
0.496,-0.209291
0.497,-0.214158
0.498,-0.206371
0.499,-0.201829
0.5,-0.200207
0.501,-0.189501
0.502,-0.174577
0.503,-0.170035
0.504,-0.175226
0.505,-0.178795
0.506,-0.185284
0.507,-0.19599
0.508,-0.206371
0.509,-0.221944
0.51,-0.231028
0.511,-0.232975
0.512,-0.240437
0.513,-0.246925
0.514,-0.24433
0.515,-0.237192
0.516,-0.236868
0.517,-0.238814
0.518,-0.245303
0.519,-0.24725
0.52,-0.251143
0.521,-0.259902
0.522,-0.269635
0.523,-0.27288
0.524,-0.269635
0.525,-0.265742
0.526,-0.257956
0.527,-0.257307
0.528,-0.249845
0.529,-0.241734
0.53,-0.248872
0.531,-0.259253
0.532,-0.268013
0.533,-0.269635
0.534,-0.263471
0.535,-0.261524
0.536,-0.256982
0.537,-0.246276
0.538,-0.249521
0.539,-0.258929
0.54,-0.26412
0.541,-0.254063
0.542,-0.247898
0.543,-0.248872
0.544,-0.24433
0.545,-0.237517
0.546,-0.233624
0.547,-0.239139
0.548,-0.24433
0.549,-0.245303
0.55,-0.249845
0.551,-0.286181
0.552,-0.354311
0.553,-0.441258
0.554,-0.56227
0.555,-0.731298
0.556,-0.925307
0.557,-1.12483
0.558,-1.306186
0.559,-1.448286
0.56,-1.521282
0.561,-1.522904
0.562,-1.434335
0.563,-1.262388
0.564,-1.02004
0.565,-0.713779
0.566,-0.326086
0.567,0.142715
0.568,0.629035
0.569,1.096215
0.57,1.558853
0.571,1.971853
0.572,2.330674
0.573,2.622013
0.574,2.814076
0.575,2.93736
0.576,2.967857
0.577,2.874421
0.578,2.640181
0.579,2.282658
0.58,1.880363
0.581,1.476772
0.582,1.100432
